Date,Tweet,Sen,Link
2022/4/1 21:29,BREAKING! Ukraine Tight-Lipped On Alleged Attack On Russian Oil Depot https://t.co/52EGNm7Oie via @YouTube #Ukraine¡­ https://t.co/aCz43kBIUW,-1,https://t.co/52EGNm7Oie via @YouTube #Ukraine¡­ https://t.co/aCz43kBIU
2022/4/1 21:29,"Buses rescue 2,000 #Mariupol refugees but Russia blocking aid, says Ukraine https://t.co/jlbtlJ7GMM",1,https://t.co/jlbtlJ7GM
2022/4/1 21:28,"Buses rescue 2,000 Mariupol refugees but Russia blocking aid, says Ukraine https://t.co/uez6wNg9Og",1,https://t.co/uez6wNg9O
2022/4/1 21:30,CBS News correspondent Debora Patta met some of the people who have found a way to continue functioning amid the ch¡­ https://t.co/GxiVPt6wHq,0,https://t.co/GxiVPt6wH
2022/4/1 21:30,China does not care much about Russia¡¯s Ukraine invasion. It cares a lot about Russia. We don¡¯t want to blur that d¡­ https://t.co/9HhHL3J5Dm,0,https://t.co/9HhHL3J5D
2022/4/1 21:30,"CHINA IN THE SAME BOAT AS RUSSIA...
BOTH ARE MILITARY DICTATORSHIPS...
https://t.co/xdO0XYtODg",1,https://t.co/xdO0XYtOD
2022/4/1 21:30,"China¡¯s trade with the EU is worth €1.9bn a day, compared with €330mn daily with Russia, von der Leyen said. Ukrain¡­ https://t.co/2jJXYhvnDp",0,https://t.co/2jJXYhvnD
2022/4/1 21:30,"Ducey says the state's Department of Emergency and Military Affairs is sending 9,000 pounds of surplus equipment to¡­ https://t.co/PcbszqPr7Z",1,https://t.co/PcbszqPr7
2022/4/1 21:30,E.U. leaders call on China to help end Russia¡¯s war in Ukraine - The Washington Post https://t.co/a1eWiWBF5m,1,https://t.co/a1eWiWBF5
2022/4/1 21:30,"Exceptionally clear footage shows the work of Kornet hitting Ukrainian vehicles somewhere in Ukraine
#War #Russia¡­ https://t.co/wR6fn3JzjD",1,https://t.co/wR6fn3Jzj
2022/4/1 21:29,i It's going to be so funny when Ukraine starts taking land and cities from Russia ???,0,#VALUE!
2022/4/1 21:29,"If #Russia would be attacked within its borders with #weapons from the #West, then the #Ukraine-#Russia war would e¡­ https://t.co/vwELuZDsVs",-1,https://t.co/vwELuZDsV
2022/4/1 21:29,"if Russia thinks bombing a civilian fuel depot is wrong and that targeting civilian facilities is wrong, perhaps¡­ https://t.co/OunLwoPQhe",1,https://t.co/OunLwoPQh
2022/4/1 21:30,"I'm afraid one of my favorite products, Scotch whiskey, is only going to inflate more since both Ukraine &amp; Russia a¡­ https://t.co/CD4jOXRwiv",0,https://t.co/CD4jOXRwi
2022/4/1 21:30,"Listen, I'm no military expert, but it looks to me like Ukraine is playing some next level chess with Russia in thi¡­ https://t.co/OCO6o9bbZb",-1,https://t.co/OCO6o9bbZ
2022/4/1 21:30,Lockdowns and travel restrictions triggered by the COVID-19 pandemic left companies around the world scrambling to¡­ https://t.co/WrA5ogAYzi,0,https://t.co/WrA5ogAYz
2022/4/1 21:29,"Master strategist at work. 
#Ukraine 
#Russia #Ukraine?War #RussianUkrainianWar https://t.co/Gpm4yFHiml",0,https://t.co/Gpm4yFHim
2022/4/1 21:29,"PM Trudeau for peace or war?
Ukrainian MP¡¯s lobby Trudeau-Freeland that taxpayers ""fund..weapons..on top of non-mil¡­ https://t.co/ntQtjahJNG",0,https://t.co/ntQtjahJN
2022/4/1 21:30,"Putin will never 'give up on Ukraine' as long as he's in the Kremlin, top Russia expert warns | Business Insider Af¡­ https://t.co/Tu9eFFGFFD",1,https://t.co/Tu9eFFGFF
2022/4/1 21:30,Releasing from the SPR for a price break is going to seem like a really stupid idea if we hit a shortage.¡­ https://t.co/65y375tIY5,0,https://t.co/65y375tIY
2022/4/1 21:29,Republican Rep. Diana Harshbarger bought and sold defense contractor stocks in the days after Russia invaded Ukraine https://t.co/YMjBxmgS8R,1,https://t.co/YMjBxmgS8
2022/4/1 21:30,Russia cannot allow Ukraine to be independent. Here's why | openDemocracy https://t.co/aPX6kEWhvA,0,https://t.co/aPX6kEWhv
2022/4/1 21:30,"Russia may intentionally target companies in the United States, Europe, Australia, and elsewhere, in response to su¡­ https://t.co/zNeVPZEaYP",0,https://t.co/zNeVPZEaY
2022/4/1 21:30,Russia Offers Discounts On Oil To India Amid Global Sanctions: Report https://t.co/zd3aDutt2w https://t.co/z2eXKWE2Oi,-1,https://t.co/zd3aDutt2w https://t.co/z2eXKWE2O
2022/4/1 21:30,"Russia sends additional units to Ukraine, wants to hold ¡®referendum¡¯ in Kherson ¨C General Staff / The New Voice of¡­ https://t.co/HoLv25iRiu",0,https://t.co/HoLv25iRi
2022/4/1 21:30,"Russia should be embarrassed Ukraine was able to fly two choppers into Russia, fire missiles and go home unscathed. https://t.co/vxnnPjvhOT",1,https://t.co/vxnnPjvhO
2022/4/1 21:30,"Russia¡¯s war with Ukraine: Five reasons why many African countries choose to be ¡®neutral¡¯

 https://t.co/J5FowuSGRM https://t.co/adHNsbO7MV",0,https://t.co/J5FowuSGRM https://t.co/adHNsbO7M
2022/4/1 21:30,Russian reporters in Ukraine: ¡®Every day I see dead and injured¡¯ | Russia | The Guardian https://t.co/nQLzrnNgQJ,1,https://t.co/nQLzrnNgQ
2022/4/1 21:29,"Russia's acts of aggression will be devastating to the Ukrainian people, the Russian people &amp; the world.

Add your¡­ https://t.co/KXHZS6XuHE",1,https://t.co/KXHZS6XuH
2022/4/1 21:30,"Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world'¡­ https://t.co/MJOxGuBSdY",1,https://t.co/MJOxGuBSd
2022/4/1 21:30,Russia's invasion of Ukraine has put the globe on edge and upped workers' stress. Disaster psychologists told HR Di¡­ https://t.co/sJRncLoZA8,1,https://t.co/sJRncLoZA
2022/4/1 21:30,"Russia's war effort is grinding to a halt because much of the military hardware they need is made in Ukraine, it em¡­ https://t.co/gRcS9kRGfW",0,https://t.co/gRcS9kRGf
2022/4/1 21:30,Russia-Ukraine war: What happened today (April 1) https://t.co/PlJai3rT3e,0,https://t.co/PlJai3rT3
2022/4/1 21:29,"Shaken at First, Many Russians Now Rally Behind Putin¡¯s Invasion https://t.co/BogSZFmH1h

Check! Checkmate! Match!¡­ https://t.co/6vm1zJm317",1,"https://t.co/BogSZFmH1h

Check! Checkmate! Match!¡­ https://t.co/6vm1zJm31"
2022/4/1 21:30,"Talks to stop the fighting in Ukraine resumed Friday, as another desperate attempt to rescue civilians from the sha¡­ https://t.co/xhBVLEowoK",1,https://t.co/xhBVLEowo
2022/4/1 21:29,U.S. official says Ukrainian helicopters attacked oil depot in Russia https://t.co/oHVMcHYvjX via @Yahoo,1,https://t.co/oHVMcHYvjX via @Yaho
2022/4/1 21:30,U.S. officials expect fighting to intensify in the Donbas region of Ukraine.  https://t.co/XCW3cCeja9,0,https://t.co/XCW3cCeja
2022/4/1 21:30,"UK military intelligence on fire at Russian Belgorod oil depot:

¡ª Probable loss of fuel, ammunition supplies
¡ª Lik¡­ https://t.co/EspuJbA1YJ",1,https://t.co/EspuJbA1Y
2022/4/1 21:28,Ukraine invades Russia certainly feels newish¡­,-1,#VALUE!
2022/4/1 21:28,Via @euronews: Ukraine denies Russian claims that its helicopters struck a fuel depot in Belgorod https://t.co/oC07dCiS2c,1,https://t.co/oC07dCiS2
2022/4/1 21:30,"Vladimir Putin 'a man in a cage he built himself' ¨C Ben Wallace lashes out
https://t.co/IqdsRTfIvL",1,https://t.co/IqdsRTfIv
2022/4/1 21:29,War in Ukraine fuels fears among draft-age Russian youths | AP News https://t.co/dem7pj42U8,1,https://t.co/dem7pj42U
2022/4/1 21:30,War of attrition between Russia and Ukraine ¡®could last ¡®beyond months¡¯ https://t.co/Jdquoh4VyB,0,https://t.co/Jdquoh4Vy
2022/4/1 21:30,Was the invasion of Ukraine a desperate last act from a dying man hoping to cement his legacy for greater Russia? https://t.co/fusd6VdyAE,1,https://t.co/fusd6VdyA
2022/4/1 21:30,We urge you to stop contributing into deaths of innocents in Ukraine. Every ruble that falls into the taxes of russ¡­ https://t.co/iY0vUzcumg,1,https://t.co/iY0vUzcum
2022/4/1 21:30,"West Vs. Russia: Conflict, Sanctions and Diplomacy in a War of Worlds

Watch @SunjoyJ in conversation with¡­ https://t.co/zSBM1oNARB",0,https://t.co/zSBM1oNAR
